Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,90.639999,91.959999,90.440002,91.320000,84.086418,12179400
2015-12-01,90.970001,92.650002,90.970001,92.480003,85.154533,6975500
2015-12-02,92.599998,92.690002,90.029999,90.250000,83.101189,11830700
2015-12-03,90.809998,91.419998,88.360001,88.849998,81.812065,10996800
2015-12-04,87.900002,89.820000,86.489998,89.709999,82.603951,13170200
2015-12-07,87.480003,87.940002,84.900002,87.279999,80.366440,15378900
2015-12-08,85.809998,88.000000,84.250000,86.440002,79.592964,13397500
2015-12-09,86.669998,90.139999,86.300003,87.599998,80.661079,14675800
2015-12-10,88.000000,90.459999,87.610001,89.300003,82.226425,14503300
2015-12-11,87.849998,87.910004,86.089996,86.440002,79.592964,13186900
2015-12-14,86.300003,89.589996,85.410004,89.330002,82.254051,12260500
2015-12-15,90.580002,93.400002,90.550003,92.760002,85.412354,19158500
2015-12-16,92.580002,93.820000,90.809998,93.440002,86.038498,16917900
2015-12-17,93.500000,94.000000,90.400002,90.540001,83.368210,14082500
2015-12-18,90.059998,91.269997,89.300003,89.809998,82.696022,20167200
2015-12-21,90.400002,90.699997,88.209999,89.239998,82.171181,12852300
2015-12-22,89.120003,90.790001,88.300003,90.269997,83.119598,9516000
2015-12-23,92.199997,93.849998,91.570000,93.809998,86.379181,11172800
2015-12-24,93.949997,93.949997,92.010002,92.050003,84.758606,4998700
2015-12-28,90.309998,90.720001,89.690002,90.360001,83.202469,6696200
2015-12-29,91.889999,92.580002,91.070000,91.250000,84.021973,6471200
2015-12-30,90.099998,90.980003,89.889999,90.089996,82.953842,5600200
2015-12-31,89.379997,90.860001,89.019997,89.959999,82.834152,6988700
2016-01-04,89.529999,90.110001,87.570000,88.849998,81.812065,11397300
2016-01-05,89.050003,89.650002,87.839996,89.610001,82.511871,7883400
2016-01-06,87.440002,87.779999,85.160004,86.070000,79.252281,14511400
2016-01-07,84.550003,85.750000,82.669998,83.019997,76.443871,15368800
2016-01-08,83.389999,83.839996,81.220001,82.129997,75.624367,11891600
2016-01-11,82.849998,82.970001,79.769997,80.769997,74.372093,14112200
2016-01-12,82.199997,82.400002,79.690002,82.150002,75.642784,13477500
2016-01-13,83.160004,84.250000,80.010002,81.330002,74.887733,15550100
2016-01-14,81.949997,86.169998,80.949997,85.470001,78.699799,16433400
2016-01-15,81.639999,83.809998,80.870003,83.669998,77.042381,17870300
2016-01-19,84.169998,84.750000,80.790001,81.510002,75.053490,13155600
2016-01-20,79.980003,80.309998,75.330002,78.980003,72.723900,26151100
